id,question,choice_0,choice_1,choice_2,label,human_expl_open-ended,gpt-theirs
d3b479933e716fb388dfb297e881054c,"If a lantern is not for sale, where is it likely to be?",antique shop,house,dark place,1,a house is the only place that is not likely to sell things,a dark place is the only place that is likely to be sold
fb721d7949d06915a2dd6fc6ec815325,Sitting to close while watching TV can cause what sort of pain?,laughter,laziness,headache,2,the process of aging in humans,pain is the only answer that makes sense.
357d23b1b6ee9c8429732abbb87d3855,"From state to state gardeners appreciate the bee, it is a popular pollinator where?",apiary,united states,michigan,1,this includes multiple states so united states would be the most likely choice.,the state of michigan is the only state that has a pollinator.
4b35b9aa85643ef0ecfa011123c5d171,"While moving the antique a wooden rod fell out, but since it was just part of the chimes what was still functional?",hardware store,old houses,old clock,2,old clocks have chimes.,old clocks are the only things that are functional
b70ade2a5f379dea88958535e1e756e8,If you're caught buying beer for children what will happen?,relaxation,losing money,get arrested,2,the most logical outcome for being caught committing a crime is to be arrested. while you might lose money you will get arrested.,if you're caught buying beer you will be arrested.
2e601d898d9b2ce9dc0bacc404e753e7,If your opponents in a marathon is very fast it is easy to fall what?,behind,slowly,lightly,0,"the phrase ""falling behind"" is commonly used in races.","if you fall, you fall."
52a5558b90ebbd84e31d28fad1efd7d7,If you there is glass in this you could possibly see dishes.,window,table,cabinet,2,glass in this you could possibly see dishes cabinet,glass is the only thing that is in the cabinet.
7462b24ecb69645f5e54feb5809d2a61,What might a friend throw a party for another friend?,rely on,coming home,keep secret,1,"coming home is the only reason a friend would throw a party that's the most likely, since answers a and c aren't reasons that friends really throw parties.",a party is a party for someone who is not a friend.
0643240e71362d8c0f2032a728fab3a9,What do lizards climb up?,great outdoors,stream bed,rock wall,2,"lizards are able to climb rock walls, and not stream beds, and ""great outdoors"" doesnt make any sense.",lizards climb rocks
b932b97619086f3f1a4f7e8a5e1037cf,People do what during their time off from work?,take trips,grow shorter,become hysterical,0,"people usually do something relaxing, such as taking trips, when they don't need to work.","when they are off work, they are usually in a hurry to get home."
b16a521cf1410b8e7839b2079fca7aeb,Where is a bicycle likely to be stolen?,toy store,street,garage,1,the street is the only area a bicycle would be likely stolen,a bicycle is the only option that would be stolen.
8d8f7307cc607de68ab89e916837754b,What does someone want when having fun with their friends and trying to fit in?,being understood,visiting friends,hug,0,one hopes that they are being understood when they are doing the work to fit in with people.,friends are the only thing that you want to do when having fun with your friends.
a265e3719e2eaf39b8fe6c901717303e,What will happen to someone after you are answering questions that he or she asks?,better grade,embarassment,children will learn,2,learning is the process of asking questions to receive answers.,children will learn to answer questions that he or or or or or or or or or or or or
20564946584e90eebe82a0e4678d0107,"Humans have a number of body parts that serve multiple functions.  Name something that they have an abundance of, and which serves a dual function.",ten fingers,two arms,two eyes,0,"abundance suggests a lot of, i.e. more than just 1 or 2.",the fingers are the only part of the body that serves multiple functions.
cafe19fc1e5caf677492d485ff670ba2,"The lizard was at the zoo, the protester stole it and returned it to the what?",wild,galapagos archipelago,glass cage,0,explanation: more than likely they released it into the wild,the glass cage is the only place that is not a zoo.
ec0412aeb10cd536bfa5b6e8ba2bcc2f,What happens when someone is driving their car for a long time?,wheels turning,lack of fuel,tire wear,2,the tires would more likely wear out after a while.,tires turn when they are driving
84ea01cf91e17c539c39496a9f4aa8bf,"The therapist told him he had to communicate his problems, he said to just be willing to do what?",send email,talk with people,talk to people,1,communication requires talking with others and working together,communication is the only way to communicate with people
42e18930f7013dc41a3c6d6bc17be9ac,John saw a pair of disembodied lips floating towards him.  He was hypnotized by their what?,human face,motion,faces,1,the statement describes lips that are in motion from being detached from a person.,the mouth is the only thing that can be seen.
c124bde6c01184d23b92542eea705269,"The couple decided the new shades didn't match the old wall color, where did they go next?",windows,house,paint store,2,the couple must go to the paint store to buy a new color for their walls to match the shades.,the new shades are the new shades.
